type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language
phonotactics_preference,-0.1374145554559,-0.1372549566690755,-1.749001751938832,0.0061874095370764,0.0061873757122918,-0.2915854961141494,0.0167563852023494,-0.2914254759226996,0.0169155625845486,0.0807681024946972,run3,cpc,preterm,562.5,606.2,151551,english
phonotactics_preference,-0.2286656384316311,-0.2284000569700381,-2.9104384240684373,0.0062131851652772,0.0062130915015616,-0.3831573694652378,-0.0741739073980245,-0.3828906235184645,-0.0739094904216117,0.0037362204891316,run3,cpc,preterm,823.5,867.2,216801,english
phonotactics_preference,-0.2579995638462782,-0.2576999127849004,-3.2837983404997497,0.0062242004436303,0.0062240812075998,-0.4126281824650575,-0.1033709452274989,-0.4123270502985038,-0.103072775271297,0.0010797227699837,run3,cpc,preterm,954.0,997.7,249426,english
phonotactics_preference,-0.4396643059200883,-0.4391536621269175,-5.596013018911881,0.0063219943687501,0.0063216481010489,-0.5955029437228292,-0.2838256681173475,-0.5949880320813627,-0.2833192921724723,3.2507028825554055e-08,run3,cpc,preterm,1476.0,1519.7,379927,english
phonotactics_preference,0.4351523416981976,0.4346469382815911,5.538585089952021,0.0063189487349424,0.0063186095377758,0.2793512462098838,0.5909534371865115,0.2788500245014675,0.5904438520617147,4.611960736997036e-08,run3,cpc,sanity_check_filtered,0.0,0.0,0,english
phonotactics_preference,-0.0483209625709855,-0.0482648406632375,-0.6150254455332937,0.0061746411384442,0.0061746369558983,-0.2023327467496567,0.1056908216076856,-0.2022765726800537,0.1057468913535786,0.5387563405732219,run3,cpc,sanity_check_original,223.9,223.9,55976,english
phonotactics_preference,-0.1301379920831402,-0.1299868445894315,-1.6563862204558142,0.0061859073279193,0.0061858769905604,-0.2842902164226939,0.0240142322564134,-0.2841386909264677,0.0241650017476045,0.0981369062089372,run3,cpc,sanity_check_original,913.5,913.5,228375,english
phonotactics_preference,-0.3204718677296798,-0.3200996588240704,-4.0789409553211495,0.0062520850447578,0.0062519010737494,-0.4754464696582371,-0.1654972658011225,-0.4750719806298106,-0.1651273370183302,5.097116748483246e-05,run3,cpc,sanity_check_original,1566.0,1566.0,391501,english
phonotactics_preference,-0.1216379289474,-0.1214966537685993,-1.548198079347492,0.0061842560075297,0.006184229503763,-0.2757695765398265,0.0324937186450265,-0.275627971080908,0.0326346635437093,0.1220702713333307,run3,cpc,sanity_check_original,1044.0,1044.0,261000,english
phonotactics_preference,-0.281682157322406,-0.2813550003452603,-3.5852285444747256,0.00623406237481,0.0062339202439963,-0.4364332280730517,-0.1269310865717602,-0.4361043069957377,-0.1266056936947829,0.0003627514085771,run3,cpc,sanity_check_original,783.0,783.0,195750,english
phonotactics_preference,-0.1347475350358315,-0.1345910338336993,-1.7150561238961513,0.0061868494584862,0.0061868169339416,-0.2889114978306716,0.0194164277590084,-0.2887545914045795,0.0195725237371807,0.0868258562975195,run3,cpc,sanity_check_original,652.5,652.5,163125,english
phonotactics_preference,0.3459992985057427,0.345597441016189,4.403852104665585,0.0062652125884,0.0062649981413865,0.1908620813035728,0.5011365157079126,0.1904628788713801,0.500732003160998,1.2589380711993727e-05,run3,cpc,sanity_check_original,43.7,43.7,10926,english
phonotactics_preference,-0.2375323565510738,-0.2372564769267404,-3.0232933212327326,0.0062163747071054,0.0062162736387682,-0.3920637367020005,-0.0830009764001471,-0.3917866008556843,-0.0827263529977964,0.0026012458275544,run3,cpc,sanity_check_original,0.0,0.0,0,english
phonotactics_preference,-0.2491642862197592,-0.2488748968048698,-3.1713436154789565,0.0062207429332773,0.0062206317239657,-0.4037499511835869,-0.0945786212559315,-0.4034591799850107,-0.0942906136247289,0.0015894715524895,run3,cpc,full_term,0.0,223.9,55976,english
phonotactics_preference,-0.2288040660766463,-0.2285383238396235,-2.9122003203453266,0.0062132340282817,0.0062131402511291,-0.3832964046018301,-0.0743117275514625,-0.3830294964738874,-0.0740471512053596,0.0037133101067353,run3,cpc,full_term,652.5,876.4,219101,english
phonotactics_preference,-0.3601584701502805,-0.3597401676297808,-4.584068937810649,0.0062729275645223,0.0062726952069493,-0.5153911758675673,-0.2049257644329936,-0.5149699983075895,-0.204510336951972,5.489859887078143e-06,run3,cpc,full_term,1044.0,1267.9,316976,english
phonotactics_preference,-0.187273991983071,-0.187056484443021,-2.3836087740798844,0.006199900885859,0.0061998380620155,-0.3416004768954555,-0.0329475070706866,-0.3413821874552053,-0.0327307814308368,0.0174331128503864,run3,cpc,full_term,783.0,1006.9,251726,english
