type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language
native,1.332799441683001,1.332772709842272,,0.0046298179114578,0.0046298179073986,1.3237251653215647,1.341873718044437,1.3236984334887918,1.341846986195752,0.0,run3,cpc,full_term,652.5,876.4,219101,english
native,1.262527280716786,1.262501956985855,,0.0046298063542688,0.0046298063506719,1.2534530270070243,1.2716015344265477,1.2534277032831431,1.2715762106885669,0.0,run3,cpc,full_term,1044.0,1267.9,316976,english
native,1.3048057508566997,1.304779579716408,,0.0046298142577462,0.0046298142538332,1.2957314816564072,1.3138800200569922,1.2957053105237848,1.3138538489090317,0.0,run3,cpc,full_term,783.0,1006.9,251726,english
native,1.3171729594657766,1.3171465400861784,,0.0046298139071721,0.0046298139032729,1.3080986909525965,1.3262472279789568,1.3080722715806403,1.3262208085917162,0.0,run3,cpc,full_term,913.5,1137.4,284351,english
native,1.378860977092254,1.3788333111675994,,0.0046298229869275,0.004629822982664,1.3697866907830802,1.3879352634014277,1.369759024866782,1.3879075974684167,0.0,run3,cpc,full_term,1566.0,1789.9,447477,english
native,1.1181759567319949,1.1181535418875512,,0.0046297789627818,0.0046297789602815,1.109101756708561,1.1272501567554285,1.109079341869018,1.1272277419060843,0.0,run3,apc,preterm,693.0,736.7,184176,english
native,0.0291880620304714,0.0291874746738638,,0.0046297165441675,0.0046297165441644,0.0201139843452738,0.038262139715669,0.0201133969886722,0.0382615523590555,2.891200480130077e-10,run3,apc,preterm,0.0,43.7,10926,english
native,1.182694948127824,1.1826712392335024,,0.0046297870710811,0.0046297870682564,1.1736207322124157,1.1917691640432322,1.1735970233236306,1.1917454551433742,0.0,run3,apc,preterm,562.5,606.2,151551,english
native,1.1011834728557552,1.101161402010909,,0.0046297788221966,0.0046297788197022,1.0921092731078637,1.1102576726036468,1.0920872022679062,1.110235601753912,0.0,run3,apc,preterm,823.5,867.2,216801,english
native,1.2184651406329778,1.218440706800474,,0.0046297911295222,0.0046297911265344,1.2093909167631711,1.2275393645027846,1.2093664829365234,1.2275149306644244,0.0,run3,apc,preterm,954.0,997.7,249426,english
native,1.162683442947361,1.1626601310826574,,0.0046297826168628,0.0046297826142158,1.1536092357620602,1.1717576501326616,1.1535859239025448,1.17173433826277,0.0,run3,apc,preterm,1476.0,1519.7,379927,english
native,1.3392375189634709,1.3392106532992782,,0.0046298035597627,0.004629803556276,1.3301632707308404,1.348311767196101,1.3301364050734816,1.3482849015250749,0.0,run3,apc,sanity_check_filtered,0.0,0.0,0,english
native,1.2998767646358012,1.299850713335874,,0.0046298073597154,0.0046298073560799,1.2908025089554005,1.3089510203162018,1.2907764576625986,1.3089249690091491,0.0,run3,apc,sanity_check_original,223.9,223.9,55976,english
native,1.2243704233833292,1.2243458756641945,,0.0046297964214112,0.0046297964182123,1.2152961891416107,1.2334446576250475,1.2152716414287457,1.233420109899643,0.0,run3,apc,sanity_check_original,913.5,913.5,228375,english
native,1.17580245305871,1.1757788801257825,,0.0046297875128617,0.0046297875100191,1.1667282362774276,1.1848766698399922,1.1667046633500715,1.1848530969014934,0.0,run3,apc,sanity_check_original,1566.0,1566.0,391501,english
native,1.181494198014098,1.1814705088415685,,0.0046297907563595,0.0046297907533871,1.172419974875677,1.1905684211525192,1.1723962857089731,1.1905447319741638,0.0,run3,apc,sanity_check_original,1044.0,1044.0,261000,english
native,1.200409140116416,1.200385073793694,,0.0046297922119646,0.0046297922089341,1.191334914125061,1.2094833661077709,1.1913108478082788,1.209459299779109,0.0,run3,apc,sanity_check_original,783.0,783.0,195750,english
native,1.188505130506725,1.1884813026363594,,0.0046297918162406,0.004629791813226,1.1794309052909748,1.1975793557224743,1.179407077426518,1.197555527846201,0.0,run3,apc,sanity_check_original,652.5,652.5,163125,english
native,2.1641626474966764,2.1641193364796623,,0.0046299919725857,0.0046299919615769,2.155088029981699,2.173237265011654,2.1550447189862614,2.173193953973063,0.0,run3,apc,sanity_check_original,43.7,43.7,10926,english
native,1.6688430361823388,1.6688094172152168,,0.004629835278503,0.0046298352737221,1.65976872578212,1.6779173465825576,1.6597351068243682,1.6778837276060654,0.0,run3,apc,sanity_check_original,0.0,0.0,0,english
native,-0.0944188834677914,-0.0944170013482295,,0.0046297169026464,0.0046297169026291,-0.1034929618555948,-0.085344805079988,-0.103491079735999,-0.0853429229604599,1.8867560960136203e-92,run3,apc,full_term,0.0,223.9,55976,english
native,1.1153374577030546,1.1153150973400072,,0.0046297798287775,0.0046297798262424,1.106263255982301,1.1244116594238085,1.106240895624222,1.1243892990557924,0.0,run3,apc,full_term,652.5,876.4,219101,english
native,1.1322209810297936,1.1321982821575935,,0.004629781909801,0.0046297819071826,1.1231467752303086,1.1412951868292789,1.1231240763632404,1.1412724879519467,0.0,run3,apc,full_term,1044.0,1267.9,316976,english
native,1.2128216694005478,1.2127973585760907,,0.004629792124357,0.0046297921213303,1.2037474435809008,1.2218958952201948,1.203723132762376,1.2218715843898056,0.0,run3,apc,full_term,783.0,1006.9,251726,english
native,1.19944790560209,1.199423851982737,,0.0046297900877887,0.0046297900848425,1.1903736837740433,1.2085221274301363,1.1903496301604648,1.208498073805009,0.0,run3,apc,full_term,913.5,1137.4,284351,english
native,1.2161952537105911,1.2161708750782307,,0.0046297916304347,0.0046297916274277,1.207121028859014,1.2252694785621685,1.2070966502325473,1.2252450999239142,0.0,run3,apc,full_term,1566.0,1789.9,447477,english
native,1.372766165851078,1.3727386293949844,,0.0046298193775521,0.0046298193734335,1.3636918866161505,1.381840445086006,1.3636643501681287,1.38181290862184,0.0,run2,cpc,preterm,693.0,736.7,184176,english
native,1.5921046649740809,1.592072710398899,,0.004629841629199,0.0046298416241864,1.5830303421267269,1.601178987821435,1.5829983875613691,1.6011470332364288,0.0,run2,cpc,preterm,0.0,43.7,10926,english
native,1.4040910197419303,1.4040628689159476,,0.0046298239654826,0.0046298239611818,1.395016731514824,1.4131653079690365,1.3949885806972706,1.4131371571346245,0.0,run2,cpc,preterm,562.5,606.2,151551,english
native,1.3546133789215995,1.3545862191030054,,0.0046298166603195,0.004629816656311,1.3455391050123495,1.3636876528308497,1.3455119452016122,1.3636604930043985,0.0,run2,cpc,preterm,823.5,867.2,216801,english
native,1.458797832558981,1.4587685866695983,,0.0046298324275952,0.0046298324229561,1.4497235277464386,1.4678721373715231,1.449694281866149,1.4678428914730484,0.0,run2,cpc,preterm,954.0,997.7,249426,english
native,1.422406982471469,1.4223784680587954,,0.0046298281116614,0.0046298281071952,1.4133326861180011,1.4314812788249365,1.4133041717140815,1.431452764403509,0.0,run2,cpc,preterm,1476.0,1519.7,379927,english
native,1.1798476674844327,1.1798239835332267,,0.0046297834259402,0.0046297834232582,1.1707734587133694,1.188921876255496,1.17074977476742,1.1888981922990334,0.0,run2,cpc,sanity_check_filtered,0.0,0.0,0,english
native,1.5977534081314102,1.5977213623712068,,0.0046298481285184,0.0046298481232491,1.588679072545624,1.6068277437171965,1.588647026795748,1.6067956979466655,0.0,run2,cpc,sanity_check_original,223.9,223.9,55976,english
native,1.361425187944963,1.3613978966087072,,0.0046298199983649,0.0046298199942234,1.3523509074932645,1.3704994683966616,1.3523236161651258,1.3704721770522887,0.0,run2,cpc,sanity_check_original,913.5,913.5,228375,english
native,1.1554426260590691,1.155419450666176,,0.0046297892542567,0.0046297892513438,1.1463684058647154,1.1645168462534228,1.1463452304775317,1.1644936708548204,0.0,run2,cpc,sanity_check_original,1566.0,1566.0,391501,english
native,1.3979293061302571,1.3979012808250697,,0.0046298245596854,0.0046298245553612,1.3888550167385345,1.4070035955219795,1.3888269914418223,1.4069755702083169,0.0,run2,cpc,sanity_check_original,1044.0,1044.0,261000,english
native,1.394317917992658,1.394289963135798,,0.0046298262280403,0.0046298262236493,1.38524362533102,1.4033922106542962,1.385215670482766,1.4033642557888295,0.0,run2,cpc,sanity_check_original,783.0,783.0,195750,english
native,1.4271677734303858,1.4271391594314813,,0.004629830572054,0.0046298305674891,1.4180934722546374,1.4362420746061342,1.41806485826468,1.4362134605982826,0.0,run2,cpc,sanity_check_original,652.5,652.5,163125,english
native,1.3748019173177064,1.3747743001620318,,0.0046298078826277,0.0046298078789639,1.3657276606124162,1.3838761740229966,1.3657000434639228,1.3838485568601409,0.0,run2,cpc,sanity_check_original,43.7,43.7,10926,english
native,1.6267124005368985,1.626679726768327,,0.0046298471495854,0.0046298471443491,1.6176380668697854,1.635786734204011,1.617605393111477,1.635754060425177,0.0,run2,cpc,sanity_check_original,0.0,0.0,0,english
native,1.426454098427748,1.4264254570460415,,0.0046298164299621,0.0046298164259573,1.4173798249699905,1.4355283718855056,1.417351183596133,1.43549973049595,0.0,run2,cpc,full_term,0.0,223.9,55976,english
native,1.1743486607494538,1.174325117157455,,0.004629793451214,0.0046297934481342,1.1652744323292148,1.1834228891696927,1.1652508887432522,1.1833993455716576,0.0,run2,cpc,full_term,652.5,876.4,219101,english
native,1.2167868102592276,1.2167624056442792,,0.0046297977842539,0.0046297977809998,1.2077125733463867,1.2258610471720686,1.207688168737816,1.2258366425507423,0.0,run2,cpc,full_term,1044.0,1267.9,316976,english
native,1.2803093417187306,1.2802836749346405,,0.0046298067333884,0.0046298067297773,1.2712350872659082,1.289383596171553,1.2712094204888955,1.2893579293803852,0.0,run2,cpc,full_term,783.0,1006.9,251726,english
native,1.241722109992618,1.2416972075038977,,0.0046298015021865,0.0046298014987838,1.2326478657927629,1.250796354192473,1.2326229633107118,1.2507714516970836,0.0,run2,cpc,full_term,913.5,1137.4,284351,english
native,1.3565951198783224,1.3565678993352197,,0.0046298163308778,0.0046298163268803,1.3475208466147663,1.3656693931418784,1.3474936260794983,1.3656421725909405,0.0,run2,cpc,full_term,1566.0,1789.9,447477,english
native,1.0549644118408268,1.054943266230465,,0.0046297736729588,0.0046297736706704,1.0458902221852555,1.0640386014963978,1.045869076579379,1.064017455881551,0.0,run2,apc,preterm,693.0,736.7,184176,english
native,-0.0654569845085806,-0.0654556890645161,,0.0046297167920649,0.004629716792052,-0.0745310626796482,-0.056382906337513,-0.0745297672355584,-0.0563816108934738,2.201020413255841e-45,run2,apc,preterm,0.0,43.7,10926,english
native,1.0852559469491134,1.085234191018412,,0.0046297778240835,0.0046297778216288,1.0761817491574874,1.0943301447407394,1.0761599932315973,1.0943083888052267,0.0,run2,apc,preterm,562.5,606.2,151551,english
native,1.083322731055962,1.083301013315798,,0.0046297763927615,0.0046297763903639,1.0742485360696756,1.0923969260422486,1.074226818334211,1.0923752082973852,0.0,run2,apc,preterm,823.5,867.2,216801,english
native,1.0901201496459874,1.090098296569406,,0.0046297776767382,0.0046297776742894,1.0810459521431528,1.099194347148822,1.081024099071371,1.0991724940674408,0.0,run2,apc,preterm,954.0,997.7,249426,english
native,1.0575443965827112,1.057523198971677,,0.0046297748710252,0.0046297748686888,1.048470204578973,1.0666185885864492,1.048449006972518,1.0665973909708355,0.0,run2,apc,preterm,1476.0,1519.7,379927,english
native,1.4065193216629162,1.406491075931563,,0.0046298046049395,0.0046298046014066,1.397445071381777,1.415593571944055,1.3974168256573485,1.4155653262057777,0.0,run2,apc,sanity_check_filtered,0.0,0.0,0,english
native,1.2447020740538532,1.2446771254733051,,0.0046297959682622,0.0046297959650818,1.2356278407002903,1.253776307407416,1.2356028921259758,1.2537513588206344,0.0,run2,apc,sanity_check_original,223.9,223.9,55976,english
