type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language,chronological_age,significant
ids_preference,-0.5873432987920307,-0.5854904808147688,-4.549541629456124,0.0173853586471581,0.0173808314648431,-0.8457715080224792,-0.3289150895615821,-0.8438850402420519,-0.3270959213874858,9.170527870020571e-06,run1,apc,preterm,1476.0,1519.7,379927,english,18.0,significant
ids_preference,-0.7208687991945173,-0.7185947651276576,-5.583825708161808,0.0177492746367753,0.0177424550759768,-0.9819877521917346,-0.4597498461972999,-0.979663550225341,-0.4575259800299742,7.093569472420116e-08,run3,apc,preterm,1476.0,1519.7,379927,english,18.0,significant
ids_preference,-0.6491633752092449,-0.6471155412180486,-5.028397882306406,0.0175446105994022,0.017539080257679,-0.9087725028275112,-0.3895542475909787,-0.9066837491379,-0.3875473332981971,1.0305733777851072e-06,run2,apc,preterm,1476.0,1519.7,379927,english,18.0,significant
ids_preference,-0.0463043071341659,-0.0461582367646575,-0.358671620776596,0.0166711335184566,0.0166711053808775,-0.2993684746993206,0.2067598604309887,-0.299222190768568,0.206905717239253,0.7201661282351417,run1,apc,sanity_check_filtered,0.0,0.0,0,english,0.0,not significant
ids_preference,-0.0457013756069668,-0.0455572072296578,-0.3540013332491052,0.0166710179494424,0.0166709905398553,-0.2987646660143978,0.207361914800464,-0.2986202896005078,0.2075058751411921,0.7236586432921873,run3,apc,sanity_check_filtered,0.0,0.0,0,english,0.0,not significant
ids_preference,-0.0465928412790195,-0.0464458607071613,-0.3609065966522561,0.0166711893601217,0.016671160870785,-0.2996574326759628,0.2064717501179237,-0.2995102358734183,0.2066185144590955,0.7184968257903802,run2,apc,sanity_check_filtered,0.0,0.0,0,english,0.0,not significant
ids_preference,-0.0470342814914439,-0.0468859083637106,-0.3643259778343881,0.0166712754659071,0.0166712464341731,-0.3000995264199612,0.2060309634370733,-0.2999509329453777,0.2061791162179564,0.7159456386021421,run1,apc,baseline,0.0,0.0,0,english,0.0,not significant
ids_preference,-0.0461474705877999,-0.0460018949708037,-0.3574567701122917,0.0166711033105034,0.0166710753632102,-0.2992114088777833,0.2069164677021833,-0.2990656211436008,0.2070618312019933,0.7210740765465118,run3,apc,baseline,0.0,0.0,0,english,0.0,not significant
ids_preference,-0.0473777143047607,-0.0472282577927583,-0.3669861969674229,0.0166713430162765,0.0166713135590294,-0.3004434719305071,0.2056880433209855,-0.3002937918425205,0.2058372762570036,0.713963004433598,run2,apc,baseline,0.0,0.0,0,english,0.0,not significant
ids_preference,-1.0458914040656777,-1.0425920620970164,-8.101439979775725,0.0189456017272884,0.0189312462665577,-1.315666771489485,-0.7761160366418705,-1.3122652030610378,-0.7729189211329951,5.2810391527939566e-14,run1,apc,baseline,43.7,43.7,10926,english,0.5,significant
